DEA Code,DEA Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N10000506,THE MOOR,2017,22,10,12,"1,322",98,274,"1,009","1,698","1,649",0,0,29,19,11,20,60,15,3,3,3
N10000507,WATERSIDE,2017,19,16,3,554,45,39,513,892,861,0,0,23,14,3,3,26,17,0,3,3
N10000601,ENNISKILLEN,2017,225,221,3,"10,347",61,18,"9,877","15,434","12,504",0,23,264,144,57,108,429,178,21,11,15
N10000602,ERNE EAST,2017,904,891,13,"33,816",64,35,"33,183","58,533","27,781","1,982",835,"1,096",616,244,373,"1,713",728,95,45,36
N10000603,ERNE NORTH,2017,746,740,6,"29,823",38,18,"29,260","36,202","40,746",188,78,881,443,176,201,"1,258",640,69,24,13
N10000604,ERNE WEST,2017,"1,157","1,152",5,"49,321",35,103,"48,339","53,815","45,932",60,181,"1,353",730,287,310,"1,950","1,001",109,30,17
N10000605,MID TYRONE,2017,983,913,70,"40,723",61,161,"39,582","54,229","83,054","11,016",1038,"1,157",635,206,331,"1,694",804,101,36,42
N10000606,OMAGH,2017,38,29,9,"1,670",84,21,"1,556","1,890","2,704",0,104,43,20,5,16,64,29,5,3,3
N10000607,WEST TYRONE,2017,"1,064","1,022",42,"43,012",73,270,"41,772","68,149","74,348","30,604",641,"1,290",743,230,437,"1,957",829,120,58,57
N10000701,CASTLEREAGH EAST,2017,58,3,54,"4,353",139,531,"3,117","6,535","3,324",65,0,82,54,20,64,166,36,8,3,12
N10000702,CASTLEREAGH SOUTH,2017,34,3,33,"1,582",95,180,"1,384","3,569",465,0,0,51,33,13,28,92,24,3,3,3
N10000703,DOWNSHIRE EAST,2017,298,96,202,"11,488",92,"1,044","10,221","23,596","18,880","9,572",150,369,207,99,151,619,220,31,13,34
N10000704,DOWNSHIRE WEST,2017,143,3,139,"6,414",111,"1,860","4,500","11,874","2,921","2,848",184,180,97,47,85,312,100,17,9,17
N10000705,KILLULTAGH,2017,296,170,126,"11,511",69,"1,142","10,252","17,378","10,753","3,734",429,347,191,78,142,567,221,38,19,18
N10000706,LISBURN NORTH,2017,16,7,9,411,185,103,307,613,64,"8,143",0,19,11,3,9,31,11,0,3,3
N10000707,LISBURN SOUTH,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000801,BALLYMENA,2017,14,3,10,255,36,23,231,380,443,0,27,16,6,3,3,21,12,3,0,0
N10000802,BANNSIDE,2017,406,276,130,"13,754",96,476,"13,079","33,465","15,816",720,835,501,283,117,176,794,303,45,23,35
N10000803,BRAID,2017,790,541,249,"38,392",92,505,"37,428","52,734","124,490","2,843",2041,967,606,240,371,"1,578",546,124,55,65
N10000804,CARRICK CASTLE,2017,20,20,0,879,42,0,791,"1,047","3,954",0,0,26,16,3,21,50,14,5,3,0
N10000805,COAST ROAD,2017,211,209,3,"13,611",54,57,"13,418","9,347","59,607",5,129,242,149,65,107,414,166,29,7,9
N10000806,KNOCKAGH,2017,100,96,3,"2,789",45,2,"2,735","3,659","11,658","1,683",28,114,59,31,35,180,83,9,5,3
N10000807,LARNE LOUGH,2017,256,245,11,"13,657",101,72,"13,472","22,352","44,935","10,362",172,317,186,75,120,512,183,28,15,30
N10000901,CARNTOGHER,2017,630,496,134,"23,463",47,593,"22,554","29,593","72,171","4,737",204,760,355,125,223,"1,108",526,60,24,20
N10000902,CLOGHER VALLEY,2017,"1,134",958,176,"40,682",117,373,"39,179","82,160","40,276","104,366",3712,"1,368",761,293,493,"2,154",850,154,60,70
N10000903,COOKSTOWN,2017,652,489,163,"19,751",79,288,"19,231","35,609","27,902","30,138",1540,783,391,166,236,"1,185",543,50,27,32
N10000904,DUNGANNON,2017,223,35,188,"7,600",95,253,"7,238","17,275","4,380",814,687,262,134,45,78,385,161,31,12,19
N10000905,MAGHERAFELT,2017,467,184,283,"16,309",79,732,"15,320","34,087","31,269","28,221",147,570,312,111,218,899,352,52,30,33
N10000906,MOYOLA,2017,503,367,136,"21,414",56,777,"20,208","30,199","41,389","12,100",90,606,318,108,215,929,385,73,27,18
N10000907,TORRENT,2017,557,268,289,"16,844",115,504,"16,226","44,597","10,534","46,585",1564,686,364,123,265,"1,074",418,57,37,45
N10001001,CROTLIEVE,2017,653,453,200,"16,997",55,"1,128","15,653","31,621","57,293","6,484",454,787,375,155,302,"1,244",546,61,18,28
N10001002,DOWNPATRICK,2017,263,84,179,"12,524",76,"1,676","10,484","24,387","20,289","2,068",43,342,200,77,150,569,181,43,13,26
N10001003,NEWRY,2017,142,135,7,"2,594",33,16,"2,559","5,771","4,230","3,576",29,154,60,14,26,194,128,9,3,3
N10001004,ROWALLANE,2017,287,185,102,"19,530",84,577,"11,294","19,512","21,298","26,947",161,344,190,104,146,594,216,36,16,19
N10001005,SLIEVE CROOB,2017,690,486,204,"22,676",47,"1,386","21,003","37,672","65,844","7,546",166,828,428,156,270,"1,254",560,80,24,26
N10001006,SLIEVE GULLION,2017,"1,124","1,046",78,"26,774",50,427,"26,092","67,223","22,719","5,107",499,"1,276",571,217,319,"1,812",976,83,29,36
N10001007,THE MOURNES,2017,715,494,221,"21,054",50,"1,221","19,704","31,540","89,906","15,377",224,888,431,183,285,"1,356",588,69,25,33
N10001101,ARDS PENINSULA,2017,357,10,347,"17,355",137,"2,816","14,120","40,802","19,498","11,502",123,467,275,115,297,879,223,45,21,68
N10001102,BANGOR CENTRAL,2017,12,0,12,400,113,65,322,"1,183",366,0,0,13,9,0,10,23,9,0,0,3
N10001103,BANGOR EAST AND DONAGHADEE,2017,37,3,36,"1,965",111,305,"1,468","3,350","2,459",8,8,47,29,13,21,81,22,7,3,5
N10001104,BANGOR WEST,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10001105,COMBER,2017,208,57,151,"8,065",85,"1,918","6,015","12,348","16,803",736,18,269,162,67,162,498,136,32,17,23
N10001106,HOLYWOOD AND CLANDEBOYE,2017,36,3,35,"1,779",122,263,"1,471","4,107",603,23,0,46,29,12,28,86,24,3,5,5
N10001107,NEWTOWNARDS,2017,35,3,33,"2,396",180,"1,026","1,307","3,391","1,645",36,0,45,35,14,42,101,19,5,3,9
N10000101,AIRPORT,2018,287,107,180,16496,98,577,15673,28655,25817,970,206,352,222,98,190,640,196,42,13,36
N10000102,ANTRIM,2018,9,3,6,135,126,4,131,285,297,4247,0,10,3,3,3,16,7,3,0,3
N10000103,BALLYCLARE,2018,146,67,79,6145,94,289,5820,13415,11992,4595,95,183,109,42,104,329,100,22,8,16
N10000104,DUNSILLY,2018,401,265,136,17743,92,632,16598,33525,39717,2467,837,517,302,126,157,800,285,58,21,37
N10000105,GLENGORMLEY URBAN,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000106,MACEDON,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000107,THREE MILE WATER,2018,21,17,3,1367,166,0,1358,2093,1124,10624,0,28,17,8,8,44,17,3,0,3
N10000201,ARMAGH,2018,787,399,388,22769,127,961,21551,57313,20000,123566,1246,958,507,183,741,1882,597,97,35,58
N10000202,BANBRIDGE,2018,554,43,511,22051,83,2597,19218,43457,31588,9868,132,705,393,164,290,1159,404,78,25,47
N10000203,CRAIGAVON,2018,113,62,51,3841,80,217,3466,8691,1420,1350,162,152,79,26,71,249,82,17,6,8
N10000204,CUSHER,2018,822,509,313,26111,87,1519,24131,64361,37195,23566,1257,1002,546,217,363,1582,641,77,42,62
N10000205,LAGAN RIVER,2018,436,160,276,16025,93,1818,14022,36901,22450,490,645,543,306,138,200,881,323,46,23,44
N10000206,LURGAN,2018,120,45,75,4687,93,388,4234,12027,1438,4288,99,146,76,35,60,241,85,13,12,10
N10000207,PORTADOWN,2018,421,174,247,12230,96,1730,10349,24848,7737,10816,225,542,289,118,651,1311,289,38,32,62
N10000301,BALMORAL,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000302,BLACK MOUNTAIN,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000303,BOTANIC,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000304,CASTLE,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000305,COLLIN,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000306,COURT,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000307,LISNASHARRAGH,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000308,OLDPARK,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000309,ORMISTON,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000310,TITANIC,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000401,BALLYMONEY,2018,412,207,205,18556,111,628,17443,31453,32826,11642,982,529,312,126,200,855,282,61,23,46
N10000402,BANN,2018,520,253,267,26890,82,1059,25355,40341,56610,7075,428,673,409,187,241,1101,377,63,28,52
N10000403,BENBRADAGH,2018,422,329,93,27075,64,2183,24552,21479,86554,423,243,535,306,112,202,849,330,49,18,25
N10000404,CAUSEWAY,2018,345,124,221,20009,146,2034,17648,42142,28099,2913,498,466,333,127,237,830,188,55,31,71
N10000405,COLERAINE,2018,10,6,3,945,58,0,916,681,1230,0,0,13,3,3,3,18,7,3,3,3
N10000406,LIMAVADY,2018,203,102,101,12110,72,1713,10157,15051,34560,78,1,255,154,54,105,414,138,28,21,16
N10000407,THE GLENS,2018,589,522,67,38313,74,723,37176,31149,159377,52,730,749,456,162,269,1180,418,95,33,43
N10000501,BALLYARNETT,2018,16,3,13,1147,98,378,728,609,1164,0,0,18,11,3,15,37,10,3,0,3
N10000502,DERG,2018,618,496,122,30789,95,889,28020,43386,75331,27965,293,758,452,150,279,1187,450,80,28,60
N10000503,FAUGHAN,2018,265,172,93,15249,89,1779,13154,22018,33613,80,0,341,205,72,166,579,181,42,16,26
N10000504,FOYLESIDE,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000505,SPERRIN,2018,828,753,75,47821,54,826,46340,41544,168392,1806,54,1011,585,218,382,1611,650,103,40,35
N10000506,THE MOOR,2018,22,10,12,1331,98,284,1023,1596,1466,0,0,29,18,11,19,59,14,3,3,3
N10000507,WATERSIDE,2018,18,15,3,543,47,35,506,858,1029,0,0,22,12,3,3,28,16,0,3,3
N10000601,ENNISKILLEN,2018,221,216,5,10157,59,12,9706,14463,11802,0,23,264,140,55,106,425,176,19,12,14
N10000602,ERNE EAST,2018,907,894,13,34406,65,39,33785,57972,26902,1640,881,1093,611,236,358,1687,735,92,41,39
N10000603,ERNE NORTH,2018,738,733,5,29198,37,14,28680,34586,41313,256,77,880,459,170,193,1243,638,70,19,11
N10000604,ERNE WEST,2018,1156,1152,3,49621,33,119,48823,51403,45802,0,163,1347,712,297,339,1983,1009,103,26,18
N10000605,MID TYRONE,2018,974,904,70,41352,61,160,40262,51948,81007,9971,1149,1167,660,206,309,1682,803,95,34,42
N10000606,OMAGH,2018,37,28,9,1418,88,21,1310,1640,2426,0,110,41,22,5,16,62,29,3,3,3
N10000607,WEST TYRONE,2018,1061,1020,41,42879,72,249,41786,65958,71990,31713,577,1298,760,250,434,1982,830,121,55,55
N10000701,CASTLEREAGH EAST,2018,57,3,54,4369,147,500,3110,6781,3201,61,0,83,56,14,75,172,34,6,3,13
N10000702,CASTLEREAGH SOUTH,2018,33,3,31,1551,96,162,1377,3389,536,0,0,52,31,14,19,85,22,3,3,3
N10000703,DOWNSHIRE EAST,2018,296,103,193,11207,93,860,10096,23716,19813,9180,193,370,204,103,168,641,221,32,10,33
N10000704,DOWNSHIRE WEST,2018,144,5,139,6302,118,1678,4573,12522,3319,3125,285,186,100,47,82,315,98,17,12,17
N10000705,KILLULTAGH,2018,292,171,121,11674,64,810,10738,16727,9430,3958,327,344,191,81,133,558,227,31,18,16
N10000706,LISBURN NORTH,2018,17,7,10,422,186,87,333,567,102,8657,0,20,10,3,8,31,12,3,3,3
N10000707,LISBURN SOUTH,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000801,BALLYMENA,2018,14,6,8,256,44,19,226,318,437,0,23,16,3,3,3,20,13,3,0,0
N10000802,BANNSIDE,2018,396,271,125,13528,96,391,12893,31846,16608,469,831,512,280,116,175,803,294,47,25,30
N10000803,BRAID,2018,793,542,251,38181,92,437,37333,49758,124213,2529,2193,995,617,259,380,1634,556,122,53,62
N10000804,CARRICK CASTLE,2018,21,21,0,950,40,0,859,975,4226,0,0,26,18,3,28,58,15,3,3,0
N10000805,COAST ROAD,2018,213,209,3,13752,54,55,13609,9120,60815,18,131,246,151,64,105,415,165,32,6,10
N10000806,KNOCKAGH,2018,99,96,3,2848,43,11,2790,3854,11549,1683,0,118,61,30,43,191,84,7,5,3
N10000807,LARNE LOUGH,2018,257,247,10,13533,94,68,13387,21757,43396,10155,110,310,190,71,117,498,183,33,14,27
N10000901,CARNTOGHER,2018,641,511,130,23580,49,524,22780,29374,71223,5019,339,776,364,125,238,1139,536,60,24,21
N10000902,CLOGHER VALLEY,2018,1130,957,173,40816,117,433,39210,79818,39195,104203,3956,1376,754,283,485,2144,850,148,62,70
N10000903,COOKSTOWN,2018,652,489,163,19790,80,273,19333,34757,26151,31392,1606,786,381,168,241,1195,547,48,27,30
N10000904,DUNGANNON,2018,217,39,178,7541,109,246,7148,16418,4657,828,1080,265,131,44,76,385,157,29,11,20
N10000905,MAGHERAFELT,2018,465,188,277,16103,79,659,15239,33219,30803,26258,256,586,323,118,214,918,357,41,34,33
N10000906,MOYOLA,2018,498,369,129,21464,55,710,20339,28797,40183,10682,58,617,326,108,219,944,387,69,24,18
N10000907,TORRENT,2018,559,273,286,17116,120,495,16521,42888,9932,51576,1756,705,369,99,227,1031,420,62,33,44
N10001001,CROTLIEVE,2018,655,454,201,17115,56,1082,15832,30560,56963,6107,444,792,395,169,336,1297,549,60,19,27
N10001002,DOWNPATRICK,2018,260,82,178,12470,75,1487,10673,24802,20809,97,43,345,215,76,145,566,183,38,14,25
N10001003,NEWRY,2018,140,133,7,2658,33,16,2601,5984,5077,2833,31,152,56,13,26,191,126,8,3,3
N10001004,ROWALLANE,2018,287,186,101,19589,80,645,11189,18954,20057,24027,129,339,187,99,141,579,218,34,15,20
N10001005,SLIEVE CROOB,2018,692,487,205,22805,47,1452,21037,37191,63108,8259,165,849,424,174,252,1275,570,73,23,26
N10001006,SLIEVE GULLION,2018,1133,1058,75,26901,50,367,26345,66121,24191,5101,562,1307,596,223,330,1860,989,80,27,37
N10001007,THE MOURNES,2018,713,498,215,20870,51,1228,19547,32558,90972,14370,218,904,468,180,335,1419,589,69,21,34
N10001101,ARDS PENINSULA,2018,358,9,349,17224,131,2806,14016,41053,18830,8133,54,483,285,130,310,923,225,46,17,70
N10001102,BANGOR CENTRAL,2018,12,0,12,396,107,57,327,1129,140,0,0,14,9,3,8,23,9,0,0,3
N10001103,BANGOR EAST AND DONAGHADEE,2018,39,0,39,1924,101,278,1455,3391,2268,6,8,49,31,11,19,79,27,3,3,5
N10001104,BANGOR WEST,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10001105,COMBER,2018,213,58,155,8094,90,1864,6099,12421,16062,821,122,282,163,73,189,544,137,34,19,23
N10001106,HOLYWOOD AND CLANDEBOYE,2018,37,3,36,2596,122,243,1754,4236,923,13,0,47,28,14,28,89,25,3,5,5
N10001107,NEWTOWNARDS,2018,35,3,34,2290,170,1003,1224,3704,1621,6,2,47,39,13,41,101,19,5,3,10
N10000101,AIRPORT,2019,290,107,183,"16,646",98,611,"15,847","28,371","26,114",931,228,355,222,96,191,642,203,36,18,33
N10000102,ANTRIM,2019,9,3,6,132,123,4,126,244,466,"4,078",0,12,3,3,3,18,7,3,3,3
N10000103,BALLYCLARE,2019,147,68,79,"6,134",87,280,"5,753","13,037","12,506",357,95,179,107,40,91,310,100,22,10,15
N10000104,DUNSILLY,2019,396,261,135,"17,730",96,598,"16,621","33,938","38,313","1,636",851,512,310,113,173,798,286,48,25,37
N10000105,GLENGORMLEY URBAN,2019,3,3,3,235,25,6,227,156,0,1,0,3,3,3,5,10,3,0,0,0
N10000106,MACEDON,2019,3,3,3,85,213,14,70,105,0,0,0,8,5,3,31,40,3,0,0,3
N10000107,THREE MILE WATER,2019,23,18,5,"1,396",144,4,"1,382","2,104","1,200","9,941",0,31,16,9,12,52,20,3,0,3
N10000201,ARMAGH,2019,788,402,386,"22,431",134,952,"21,246","56,304","20,550","158,821","1,145",965,511,189,669,"1,823",598,99,32,59
N10000202,BANBRIDGE,2019,553,40,513,"21,661",82,"2,483","18,987","42,000","27,596","9,816",94,709,400,168,301,"1,178",410,65,35,43
N10000203,CRAIGAVON,2019,112,62,50,"3,948",76,196,"3,655","8,525","1,317",30,89,148,76,24,69,241,85,13,5,9
N10000204,CUSHER,2019,827,510,317,"26,557",90,"1,635","24,448","64,075","35,920","25,025","1,386","1,014",564,214,367,"1,595",636,82,45,64
N10000205,LAGAN RIVER,2019,434,157,277,"15,911",95,"1,754","13,986","36,727","22,383",34,734,557,311,127,196,880,316,51,23,44
N10000206,LURGAN,2019,122,47,75,"4,675",90,358,"4,244","11,301","1,595","4,485",72,149,81,33,58,240,89,14,9,10
N10000207,PORTADOWN,2019,409,174,235,"11,671",92,"1,616","9,920","23,588","8,463","10,661",223,522,280,127,599,"1,248",284,38,29,58
N10000301,BALMORAL,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000302,BLACK MOUNTAIN,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000303,BOTANIC,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000304,CASTLE,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000305,COLLIN,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000306,COURT,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000307,LISNASHARRAGH,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000308,OLDPARK,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000309,ORMISTON,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000401,BALLYMONEY,2019,411,209,202,"18,547",110,545,"17,522","32,009","32,430","12,919",856,534,320,128,196,858,283,53,30,45
N10000402,BANN,2019,526,252,274,"27,240",80,"1,055","25,731","40,768","55,717","7,228",397,675,401,193,255,"1,123",387,55,37,47
N10000403,BENBRADAGH,2019,427,334,93,"27,084",62,"2,160","24,617","21,903","85,797",170,78,547,306,112,206,865,333,53,17,24
N10000404,CAUSEWAY,2019,341,125,216,"19,866",154,"1,981","17,552","42,763","27,417","2,887",643,470,328,113,204,787,183,56,32,70
N10000405,COLERAINE,2019,10,6,3,943,60,0,916,683,"1,276",0,0,14,6,3,6,21,7,3,0,3
N10000406,LIMAVADY,2019,201,103,98,"12,025",72,"1,761","10,044","14,633","33,710",62,1,260,160,52,100,412,140,29,16,16
N10000407,THE GLENS,2019,586,521,65,"38,302",71,729,"37,163","31,261","160,167",53,470,758,462,150,272,"1,180",417,98,29,42
N10000501,BALLYARNETT,2019,17,3,14,"1,164",97,385,737,790,"1,171",0,0,19,13,3,18,40,12,3,3,3
N10000502,DERG,2019,612,492,120,"30,978",96,785,"28,243","43,250","77,464","30,068",301,761,443,153,291,"1,205",448,75,33,56
N10000503,FAUGHAN,2019,265,174,91,"15,237",90,"1,688","13,247","21,869","32,764",51,27,347,204,72,163,582,184,37,16,28
N10000504,FOYLESIDE,2019,3,3,0,201,64,9,192,217,687,0,0,3,3,3,5,11,3,0,3,0
N10000505,SPERRIN,2019,829,752,77,"48,149",58,845,"46,692","42,447","168,741","1,638",185,"1,032",600,228,396,"1,656",640,107,46,36
N10000506,THE MOOR,2019,22,10,12,"1,324",100,316,983,"1,668","1,431",0,0,28,21,10,20,58,15,3,3,3
N10000507,WATERSIDE,2019,18,15,3,536,50,29,507,926,"1,010",0,0,21,10,3,3,26,16,0,3,3
N10000601,ENNISKILLEN,2019,221,217,3,"10,256",60,12,"9,799","14,544","11,604",9,23,261,140,63,91,415,177,18,12,14
N10000602,ERNE EAST,2019,905,893,12,"34,300",68,27,"33,756","58,045","27,499","1,495",946,"1,098",606,259,271,"1,628",731,87,48,39
N10000603,ERNE NORTH,2019,735,730,5,"29,013",38,23,"28,544","34,518","40,205","2,441",80,897,466,180,177,"1,254",638,65,18,14
N10000604,ERNE WEST,2019,"1,155","1,151",3,"49,074",34,88,"48,301","50,917","44,457",7,180,"1,355",712,329,345,"2,029","1,009",101,30,15
N10000605,MID TYRONE,2019,973,908,65,"41,387",57,124,"40,312","51,367","82,292","3,229",871,"1,158",650,246,329,"1,733",802,99,34,38
N10000606,OMAGH,2019,39,30,9,"1,656",86,21,"1,539","1,489","2,480",0,120,43,20,3,17,64,31,3,3,3
N10000607,WEST TYRONE,2019,"1,066","1,029",37,"43,445",71,256,"42,263","64,941","71,374","32,219",512,"1,300",733,268,407,"1,975",839,115,53,59
N10000701,CASTLEREAGH EAST,2019,61,5,56,"3,978",144,538,"3,414","6,991","3,116",47,0,93,63,14,83,190,34,8,5,14
N10000702,CASTLEREAGH SOUTH,2019,34,3,31,"1,647",97,229,"1,406","3,313",846,13,0,52,34,16,23,91,22,3,3,5
N10000703,DOWNSHIRE EAST,2019,295,101,194,"11,194",84,836,"10,104","23,135","20,574","7,618",120,371,202,105,157,633,224,29,7,35
N10000704,DOWNSHIRE WEST,2019,141,3,137,"6,411",112,"1,620","4,725","11,940","3,214","4,277",134,181,94,50,84,315,95,18,13,15
N10000705,KILLULTAGH,2019,289,170,119,"11,333",68,723,"10,500","16,934","10,247","4,002",467,349,195,82,166,597,218,39,15,17
N10000706,LISBURN NORTH,2019,18,8,10,490,197,96,389,677,109,"10,343",0,23,10,3,13,39,13,0,3,3
N10000707,LISBURN SOUTH,2019,3,3,3,195,222,8,187,541,0,0,0,3,3,0,3,7,3,0,3,3
N10000801,BALLYMENA,2019,16,8,8,279,44,22,243,317,360,0,31,17,6,3,5,23,15,3,0,0
N10000802,BANNSIDE,2019,393,275,118,"13,645",98,423,"12,954","32,013","17,387",609,805,496,277,128,186,810,290,45,27,31
N10000803,BRAID,2019,775,527,248,"38,356",92,500,"37,443","49,765","121,295","2,707","1,737",982,581,243,367,"1,592",541,119,48,67
N10000804,CARRICK CASTLE,2019,20,20,0,916,52,0,876,"1,005","4,570",1,3,25,15,3,21,50,15,3,3,0
N10000805,COAST ROAD,2019,213,209,3,"13,975",51,52,"13,811","9,077","60,675",43,76,250,148,61,121,432,169,30,3,10
N10000806,KNOCKAGH,2019,99,95,3,"2,846",46,0,"2,816","3,831","10,945","1,661",35,122,57,32,46,200,81,11,3,3
N10000807,LARNE LOUGH,2019,257,251,6,"13,674",95,69,"13,524","21,659","44,256","11,911",71,305,190,82,118,505,182,33,14,28
N10000901,CARNTOGHER,2019,635,512,123,"23,732",48,497,"22,979","28,929","72,869","4,472",305,784,372,123,240,"1,147",528,60,27,20
N10000902,CLOGHER VALLEY,2019,"1,125",960,165,"40,880",122,461,"39,201","78,990","39,608","125,515","3,958","1,371",768,291,502,"2,164",850,143,60,72
N10000903,COOKSTOWN,2019,653,491,162,"19,817",77,281,"19,360","33,632","26,114","31,550","1,432",793,387,163,245,"1,201",549,52,24,28
N10000904,DUNGANNON,2019,221,43,178,"7,489",110,228,"7,108","16,340","4,284",869,"1,154",270,130,46,87,403,160,29,15,17
N10000905,MAGHERAFELT,2019,464,189,275,"16,073",81,674,"15,158","33,359","29,128","27,996",172,573,329,123,188,884,351,47,34,32
N10000906,MOYOLA,2019,491,358,133,"21,048",55,808,"19,842","28,634","39,314","9,437",65,606,314,107,222,935,377,71,23,20
N10000907,TORRENT,2019,555,270,285,"17,392",122,504,"16,777","42,663","10,387","39,727","2,069",706,361,97,272,"1,075",420,52,38,45
N10001001,CROTLIEVE,2019,659,457,202,"17,265",53,"1,098","15,964","29,008","55,654","5,745",371,813,396,162,367,"1,342",552,59,23,25
N10001002,DOWNPATRICK,2019,256,82,174,"12,543",73,"1,537","10,669","23,677","20,485",103,41,343,211,74,156,573,181,38,13,24
N10001003,NEWRY,2019,134,126,8,"2,771",35,17,"2,737","5,804","5,266","3,057",31,146,61,17,37,200,119,9,3,3
N10001004,ROWALLANE,2019,287,192,95,"19,558",80,640,"11,153","18,487","18,604","23,925",158,348,185,100,141,589,220,31,16,20
N10001005,SLIEVE CROOB,2019,694,483,211,"22,657",45,"1,485","20,835","35,391","60,151","7,168",160,850,419,195,286,"1,331",579,66,25,24
N10001006,SLIEVE GULLION,2019,"1,127","1,057",70,"27,110",50,510,"26,343","64,024","22,667","5,190",477,"1,318",582,246,312,"1,876",991,77,24,35
N10001007,THE MOURNES,2019,715,510,205,"21,380",50,"1,245","19,975","32,080","87,933","15,215",141,914,498,197,337,"1,448",594,62,20,39
N10001101,ARDS PENINSULA,2019,353,6,347,"17,059",132,"2,720","13,944","40,470","18,151","9,050",36,491,296,112,310,913,227,43,16,67
N10001102,BANGOR CENTRAL,2019,12,0,12,394,110,75,306,"1,130",174,0,0,13,8,3,7,21,9,0,0,3
N10001103,BANGOR EAST AND DONAGHADEE,2019,40,0,40,"1,949",98,278,"1,484","3,502","2,610",6,6,55,32,12,19,86,29,3,3,5
N10001104,BANGOR WEST,2019,3,0,3,67,51,0,67,190,653,0,0,3,3,0,0,3,3,3,0,0
N10001105,COMBER,2019,209,60,149,"7,883",89,"1,896","5,860","12,076","15,055",676,115,274,155,70,159,503,141,25,17,26
N10001106,HOLYWOOD AND CLANDEBOYE,2019,36,3,35,"2,561",126,202,"1,758","4,269",769,5,0,44,25,13,27,84,23,3,5,5
N10001107,NEWTOWNARDS,2019,34,3,33,"2,407",190,"1,213","1,147","3,196","1,496",4,1,48,35,11,45,104,17,7,3,8
